7248o2m5-s89h-z4fn-869t-2z948u6539av,2018-10-13,19XFB2E59FE476140
c46n7jep-t855-47i5-22vz-w746715h7595,2018-10-13,1FTEW1CW4AK272287
698v815f-4sj1-8746-14e6-pjh13667e376,2018-10-13,1FTWW3A51AE387213
66596649-5m26-27t7-969h-977527emq8j3,0000-00-00,1G4HB5EM4AU647819
jq7m8r92-vtk2-w27s-i152-g46932755667,2018-10-13,1G6DX67D470918551
j36y1g77-82c6-9284-5118-s46j7d3h7f82,2018-10-13,2B3CK8CT2AH367301
c2643hys-2498-k17s-7y75-9v87j9i3h6i5,2018-10-13,JH4CU2F65AC066194
f81do3zv-3147-7rj7-569m-5rdw3yx18298,2018-10-13,SAJWA0ES2EP571331
9j998251-wdq7-2311-1o16-iz739f62a28s,2018-10-13,WAUSFAFL5CA425921
9a1164b7-2749-43i6-o8d6-25668q5qp74l,2018-10-13,WBA3G7C50FK620320
